1;Grodzisko/ 3 MAJA, Dπbrowskiego;14;"Umocnienia Grodziska wraz z elementami strukturalnymi (majdan fortu Grodzisko, Bastion Jerozolimski, Wysokie Czolo Kurkowe, Wysokie Skrzyd≥o Kurkowe,. Niskie Czolo Kurkowe, Luneta Senarmomt""a, Zbrojownia";474
1593;GOPLA—SKA;20;budynek gospopdarczy;
1594;GOPLA—SKA;28;dom;
1595;GOPLA—SKA;30;dom;
1596;GOPLA—SKA /d. Kie≥pino GÛrne 31-32);34. (31-32) ;dwÛr z parkiem;841
1597;GOPLA—SKA;38;dom;
1598;GOPLA—SKA;40 A;dom;
1599;GOSZCZY—SKIEGO Seweryna;5;dom;
1600;GOSZCZY—SKIEGO Seweryna;12;dom;
1601;GOSZCZY—SKIEGO Seweryna;13;dom;
1602;GOSZCZY—SKIEGO Seweryna;15/17;dom;
1603;GOSZCZY—SKIEGO Seweryna;19/21;dom;
1604;GOSZCZY—SKIEGO Seweryna;23;dom;
1605;GOSZCZY—SKIEGO Seweryna;25;dom;
1606;GOåCINNA;1;dom;
1607;GOåCINNA;2;dom, us≥ugi;
1608;GOåCINNA;2 pod;;
1609;GOåCINNA;4;ob. Szko≥a muzyczna;
1610;GOåCINNA;5;dom;
1611;GOåCINNA;6;poczta;
1612;GOåCINNA;10;dom z kuüniπ;1027
1613;GOåCINNA;12;dom;
1614;GOåCINNA;13;dom;
1615;GOåCINNA;14;dom;
1616;GOåCINNA;15;d. kosciÛ≥ ewangelicki ob. N.Serca P.Jezusa,ob. åw. Jana Bosco;717
1617;GOåCINNA;15;dom;
1618;GOåCINNA;16;dom;
1619;GOåCINNA;17;szko≥a podstawowa nr 10;
1620;GOåCINNA;18;dom;
1621;GOåCINNA;21;dom;
1622;G”RECKA;3;dom;
1623;G”RECKIEGO ks. Mariana;4;dom;
1624;G”RECKIEGO ks. Mariana;5;dom;
1625;G”RECKIEGO ks. Mariana;6;dom;
1626;G”RECKIEGO ks. Mariana;6 A;dom;
1627;G”RECKIEGO ks. Mariana;7;dom;
1628;G”RECKIEGO ks. Mariana;7 A;dom;
1629;G”RECKIEGO ks. Mariana;8;dom;
1630;G”RECKIEGO ks. Mariana;9;dom;
1631;G”RECKIEGO ks. Mariana;10/10 A/10 B;dom;
1632;G”RECKIEGO ks. Mariana;11;dom;
1633;G”RECKIEGO ks. Mariana;12;dom;
1634;G”RECKIEGO ks. Mariana;12;dom, drugi budynek;
1635;G”RECKIEGO ks. Mariana;13;dom;
1636;G”RECKIEGO ks. Mariana;13 A;dom;
1637;G”RECKIEGO ks. Mariana;14;dom;
1638;G”RECKIEGO ks. Mariana;15;dom;
1639;G”RECKIEGO ks. Mariana;16;dom;
1640;G”RECKIEGO ks. Mariana;16;drugi budynek;
1641;G”RECKIEGO ks. Mariana;18;kosciÛ≥ úw. Jadwigi,  plebania, dom parafialny, budynek gosp.;1093
1642;G”RKA;11;dom;
1643;G”RKA;12 A;dom;
1644;G”RKA;12 B;dom;
1645;G”RKA;13 A;dom, us≥ugi;
1646;G”RKA;13 B;2 budynek;
1647;G”RKA;14;dom;
1648;GRABOWA;1;dom;
1649;GRABOWA;2;dom;
1650;GRABOWA;3;dom;
1651;GRABOWA;4;dom;
1652;GRABOWA;5/5A;dom;
1653;GRABOWA;6/6A;dom;
1654;GRABOWA;7;dom;
1655;GRABOWA;8;dom;
1656;GRABOWA;9;dom;
1657;GRABOWA;10;dom;
1658;GRAØYNY;1; kamienica;
1659;GRAØYNY;2; kamienica;
1660;GRAØYNY;3; kamienica;
1661;GRAØYNY;4; kamienica;
1662;GRAØYNY;5; kamienica;
1663;GRAØYNY;5; kamienica;
1664;GRAØYNY;6; kamienica;
1665;GRAØYNY;7; kamienica;
1666;GRAØYNY;8; kamienica;
1667;GRAØYNY;10; kamienica;
1668;GRAØYNY;11; kamienica;
1669;GRAØYNY;12; kamienica;
1670;GRAØYNY;13; kamienica;
1671;GRAØYNY;14; kamienica;
1672;GRAØYNY;15; kamienica;
1673;GRAØYNY;16; kamienica;
1674;GRAØYNY;17; kamienica;
1675;GRAØYNY;18; kamienica;
1676;GRAØYNY;19; kamienica;
1677;GRAØYNY;20; kamienica;
1678;GRAØYNY;21;kamienica, drugi budynek;
1679;GROBLA I;1 (1/2);dom;
1680;GROBLA I;3 (3/4);dom;
1681;GROBLA I;6 (5/7);dom;
1682;GROBLA I;7 (5/7);dom;
1683;GROBLA I;10 (8/11);dom mieszkalny-ob.Galeria Fotografii;
1684;GROBLA I;11 (8/11);kamienica;
1685;GROBLA I;12 (8/11);kamienica;
1686;GROBLA I;13A;kamienica;
1687;GROBLA I;13B;kamienica;
1688;GROBLA I;13C;kamienica;
1689;GROBLA I;13D;kamienica;
1690;GROBLA I;13E;kamienica;
1691;GROBLA I;13F;kamienica;
1692;GROBLA II;13 (12/14B);kamienica;
1693;GROBLA II;15 (12/14C);kamienica;
1694;GROBLA II;18 (12/14D);kamienica;
1695;GROBLA II;14 (12/14B);kamienica;
1696;GROBLA II;16 912/14C);kamienica;
1697;GROBLA II;17 (12/14D);kamienica;
1698;GROBLA III;9;kamienica;616
1699;GROBLA III;1 (1/6A);kamienica;
1700;GROBLA III;5 (1/6C);kamienica;
1701;GROBLA III;6 (1/6C);kamienica;
1702;GROBLA III;12/14;kamienica;
1703;GROBLA III;15/16;kamienica;
1704;GROBLA III;17/18;kamienica;
1705;GROBLA III;1/6A;kamienica;
1706;GROBLA III;1/6B;kamienica;
1707;GROBLA III;1/6B;kamienica;
1708;GROBLA III;1/6C;kamienica;
1709;GROBLA III;7 (1/6D);kamienica;
1710;GROBLA III;8 (1/6D rÛg);kamienica;
1711;GROBLA III;13 (12/14);kamienica;
1712;GROBLA III;17 (17/18);kamienica;
1713;GROBLA III;18 (17/18);kamienica;
1714;GROBLA III;9 (9/11);kamienica;
1715;GROBLA III;10 (9/11);kamienica;
1716;GROBLA III;11 (9/11);kamienica;
1717;GROBLA IV;1A;kamienica;
1718;GROBLA IV;1B;kamienica;
1719;GROBLA IV;1C;kamienica;
1720;GROBLA IV;2;kamienica;
1721;GROBLA IV;3;kamienica;
1722;GROBLA IV;8;kamienica;
1723;GROBLA IV;8;kamienica;
1724;GRODZA KAMIENNA;;zespÛ≥  åluzy Kamiennej / úluza, grodze kamienne, umocnienia ziemne przed úluzπ/;495
1725;GRODZA KAMIENNA ;;umocnienia, mury tzw. bramy kolejowej miÍdzy ul. Mostowπ a Grodzπ Kamiennπ;
1726;GRODZA KAMIENNA;2 C;dom;
1727;GRODZA KAMIENNA;2 D;dom;
1728;GRODZA KAMIENNA;2 F;dom;
1729;GRODZA KAMIENNA;2 H;dom;
1730;GRODZA KAMIENNA;2 I;dom;
1731;GRODZIE—SKA;1/2;budynek mieszkalny;
1732;GRODZIE—SKA;3/4;budynek mieszkalny;
1733;GRODZIE—SKA;5/6;budynek mieszkalny;
1734;GRODZIE—SKA;7/8;budynek mieszkalny;
1735;GRODZIE—SKA;9/10;budynek mieszkalny;
1736;GRODZIE—SKA;11/12;budynek mieszkalny;
1737;GRODZIE—SKA;13/14;budynek mieszkalny;
1738;GRODZIE—SKA;15/16;budynek mieszkalny;
1739;GRODZIE—SKA;17/18;budynek mieszkalny;
1740;GRODZIE—SKA;19/20;budynek mieszkalny;
1741;GRODZIE—SKA;21/22;budynek mieszkalny;
1742;GRODZIE—SKA;23/24;budynek mieszkalny;
1743;GRODZIE—SKA;25/26;budynek mieszkalny;
1744;GRODZIE—SKA;27/28;budynek mieszkalny;
1745;GRODZKA/ Wartka 8;9;dwa budynki z fragmentem muru obronnego;599
1746;GRODZKA;12;kamienica;691
1747;GRODZKA;13;kamienica;1695
1748;GRODZKA;14/15;kamienica;
1749;GRODZKA;16;spichlerz Pod Jeleniem;452
1750;GRODZKA;18;budynek;592
1751;GROTTGERA Artura;1;dom;
1752;GROTTGERA Artura;1 A;dom;
1753;GROTTGERA Artura;1B;dom;
1754;GROTTGERA Artura;01 D;dom bliüniczy z Øeromskiego 5;
1755;GROTTGERA Artura;2 A;dom;
1756;GROTTGERA Artura;3A;budynek mieszkalny;
1757;GROTTGERA Artura;4;budynek mieszkalny;
1758;GROTTGERA Artura;5;budynek mieszkalny;
1759;GROTTGERA Artura;8;budynek mieszkalny;
1760;GROTTGERA Artura;9;budynek mieszkalny;
1761;GROTTGERA Artura;11;budynek mieszkalny wraz z ogrodzeniem;
1762;GROTTGERA Artura;11A;budynek mieszkalny wraz z ogrodzeniem;
1763;GROTTGERA Artura;12;budynek mieszkalny;
1764;GROTTGERA Artura;13;budynek mieszkalny;
1765;GROTTGERA Artura;14;budynek mieszkalny;
1766;GROTTGERA Artura;21;budynek mieszkalny;
1767;GROTTGERA Artura;22;budynek mieszkalny;
1768;GROTTGERA Artura;24;budynek mieszkalny;
1769;GROTTGERA Artura;25;budynek mieszkalny;
1770;GROTTGERA Artura;26;budynek mieszkalny;
1771;GROTTGERA Artura;27;budynek mieszkalny;
1772;GROTTGERA Artura;28;budynek mieszkalny;
1773;GROTTGERA Artura;29;budynek mieszkalny;
1774;GROTTGERA Artura;31;budynek mieszkalny;
1775;GROTTGERA Artura;34;dom;
1776;GROTTGERA Artura;37;dom bliüniczy z Øeromskiego 4;
1777;GROTTGERA Artura;39;dom;
1778;GROTTGERA Artura;40;budynek mieszkalny;
1779;GROTTGERA Artura;41;dom;
1780;GROTTGERA Artura;42;dom;
1781;GROTTGERA Artura;43;dom;
1782;HIRSZFELDA Ludwika;2;dom;
1783;HIRSZFELDA Ludwika;4;dom;
1784;HIRSZFELDA Ludwika;6;dom;
1785;HIRSZFELDA Ludwika;8;dom;
1786;HIRSZFELDA Ludwika;6/8;dom;
1787;HIRSZFELDA Ludwika;14;dom;
1788;HIRSZFELDA Ludwika;16;dom;
1789;HOENE-WRO—SKIEGO JÛzefa;3;dom,;
1790;HOENE-WRO—SKIEGO JÛzefa;4;Regionalne Centrum Krwiodawstwa;
1791;HOENE-WRO—SKIEGO JÛzefa;5;dom;
1792;HOENE-WRO—SKIEGO JÛzefa;5 A/B;d.dom - ob. Woj. Stacja Sanitarno-Epidemiologiczna - laboratoria;
1793;HOENE-WRO—SKIEGO JÛzefa;7;willa;
1794;HOENE-WRO—SKIEGO JÛzefa;6;willa;
1795;HOENE-WRO—SKIEGO JÛzefa;8;dom;
1796;HOENE-WRO—SKIEGO JÛzefa;10;willa;
1797;HOENE-WRO—SKIEGO JÛzefa;12;willa;
1798;HO£DU PRUSKIEGO;1;willa;
1799;HO£DU PRUSKIEGO;2;dom;
1800;HO£DU PRUSKIEGO;4;willa;
1801;HO£DU PRUSKIEGO;5;willa;
1802;HO£DU PRUSKIEGO;6;willa;
1803;HO£DU PRUSKIEGO;7;willa;
1804;HO£DU PRUSKIEGO;8;willa;
1805;HO£DU PRUSKIEGO;9;willa;
1806;HO£DU PRUSKIEGO;10;willa;
1807;HO£DU PRUSKIEGO;11;willa, drugi budynek w g≥Íbi;
1808;HUBALA mjr.;1;dom;
1809;HUBALA mjr.;2;dom;
1810;HUBALA mjr.;3;dom;
1811;HUSA Jana;04;dom;
1812;HUSA Jana;05;dom-w zespole osiedla;
1813;HUSA Jana;06;dom-w zespole osiedla;
1814;HUSA Jana;07;dom-w zespole osiedla;
1815;HUSA Jana;08;dom-w zespole osiedla;
1816;HUSA Jana;09;dom-w zespole osiedla;
1817;HUSA Jana;10;dom-w zespole osiedla;
1818;HUSA Jana;11;dom-w zespole osiedla;
1819;HUSA Jana;12;dom-w zespole osiedla;
1820;HUSA Jana;13;dom-w zespole osiedla;
1821;HUSA Jana;14;dom-w zespole osiedla;
1822;HUSA Jana;15;dom-w zespole osiedla;
1823;HUSA Jana;16;dom-w zespole osiedla;
1824;HUSA Jana;17;dom-w zespole osiedla;
1825;HUSA Jana;18;dom;
1826;HUSA Jana;19;dom;
1827;I£OWA;1;dom;
1828;I£OWA;2;dom;
1829;INSPEKTORSKA;9;dom;1065
1830;JAB£ONIOWA;47;zespÛ≥ dworsko-parkowy;
1831;JAB£ONIOWA;47;d. obora;
1832;JANA Z KOLNA;07;dom;
1833;JANA Z KOLNA;08;dom, us≥ugi;
1834;JANA Z KOLNA;09;dom;
1835;JANA Z KOLNA;10;dom;
1836;JANA Z KOLNA;26;budynek mieszkalny;
1837;JANA Z KOLNA;27;budynek;
1838;JANA Z KOLNA;28;budynek;
1839;JANA Z KOLNA;29;budynek;
1840;JANA Z KOLNA;30;budynek;
1841;JANTAROWA;4;dom;
1842;JANTAROWA;4 A;dom;
1843;JARACZA Stefana;12 A;dom;
1844;JARACZA Stefana;12 B;dom;
1845;JARACZA Stefana;13 A;dom;
1846;JARACZA Stefana;13 B;dom;
1847;JAROWA;1;dom;
1848;JASK”£CZA;1;zespÛ≥ £aüni Miejskiej: budynek ≥aüni, budynek pomocniczy, ogrodzenie;1607
1849;JASNA;2;dom;
1850;JASNA;3/5/7;dom;
1851;JASNA;9;dom;
1852;JASNA;4;dom;
1853;JASTRZ BIA;2;dom;
1854;JAåKOWA DOLINA;;zespÛ≥ zabudowy ulicy (zabudowa willowa wraz z ogrodami oraz zabudowa czynszowa ulic: Jaúkowa Dolina, Paw≥owskiego, Romera, Akacjowa, Na WzgÛrzu;970
1855;JAåKOWA DOLINA;4;dom, biura;
1856;JAåKOWA DOLINA;6;dom, biura;
1857;JAåKOWA DOLINA;7;dom mieszkalny-ob.przych.lekarska;
1858;JAåKOWA DOLINA;8;dom;
1859;JAåKOWA DOLINA;9;dom;
1860;JAåKOWA DOLINA;10;dom;
1861;JAåKOWA DOLINA;11A,B,C;dom;
1862;JAåKOWA DOLINA;12;dom mieszkalny-wiila - ob.przedszkole;
1863;JAåKOWA DOLINA;14;"budynek d.kina ""Bajka'";
1864;JAåKOWA DOLINA;15;dom mieszkalny -willa-ob.Inst.£πcznoúÊi - mieszkal. biblioteka;
1865;JAåKOWA DOLINA;16;dom, us≥ugi;
1866;JAåKOWA DOLINA;17;zespÛ≥ dworsko-parkowy;990
1867;JAåKOWA DOLINA;19;willa;1574
1868;JAåKOWA DOLINA;23;willa;
1869;JAåKOWA DOLINA;24;dom;
1870;JAåKOWA DOLINA;31;willa -ob.PAN -Oddz.GdaÒsk;962
1871;JAåKOWA DOLINA;33;dom;
1872;JAåKOWA DOLINA;36;dom;
1873;JAåKOWA DOLINA;37;dom;1448
1874;JAåKOWA DOLINA;38;dom;
1875;JAåKOWA DOLINA;39;"dom mieszkalny;zabud.gosp";
1876;JAåKOWA DOLINA;40;dom;
1877;JAåKOWA DOLINA;42;willa;
1878;JAåKOWA DOLINA;44;willa-ob.przedszkole;1572
1879;JAåKOWA DOLINA;45;willa;1775
1880;JAåKOWA DOLINA;47;dom;
1881;JAåKOWA DOLINA;47;dom;
1882;JAåKOWA DOLINA;48;willa;
1883;JAåKOWA DOLINA;50;dom;
1884;JAåKOWA DOLINA;52;willa;
1885;JAåKOWA DOLINA;52;bud.gospodarczy w g≥Íbi ogrodu;
1886;JAåKOWA DOLINA;54;dom (naroøny - Sobieskiego 52);
1887;JAåKOWA DOLINA;56;dom;
1888;JAåKOWA DOLINA;63;dom;
1889;JAåKOWA DOLINA;67;dom;
1890;JAåKOWA DOLINA;68;dom;
1891;JAåKOWA DOLINA;71;dom;
1892;JAåKOWA DOLINA;71 k.;grota ogrodowa;
1893;JAåKOWA DOLINA;72;dom;
1894;JAåKOWA DOLINA;74;dom;
1895;JAåKOWA DOLINA;78 k.;dπb;
1896;JAåKOWA DOLINA;85;bud.gospodarczy w g≥Íbi ogrodu;
1897;JAåKOWA DOLINA;92;willa;
1898;JAåKOWA DOLINA  - las;;altana z figurπ;
1899;JAåKOWA DOLINA  - las;;mostek w Gaju Gutenberga;
1900;JAåKOWA DOLINA  - las;;mostek 2  w Gaju Gutenberga;
1901;JELITKOWSKA;2;d. Dom Kuracyjny;
1902;JESIENNA;11;koúciÛ≥ úw. Walentego;252
1903;JESIENNA;11;kaplica;
1904;JESIENNA;13;plebania;
1905;JESIENNA;14;d. szko≥a;
1906;JESIONOWA;1;dom;
1907;JESIONOWA;2;dom;
1908;JESIONOWA;3;dom;
1909;JESIONOWA;4;dom;
1910;JESIONOWA;6;dom;
1911;JESIONOWA;6A;dom;
1912;JESIONOWA;6B;dom;
1913;JESIONOWA;7;dom;
1914;JESIONOWA;8;dom;
1915;JESIONOWA;8A;dom;
1916;JESIONOWA;9;dom;
1917;JESIONOWA;10;dom;
1918;JESIONOWA;11;dom;
1919;JESIONOWA;12;dom;
1920;JESIONOWA;14;dom;
1921;JESIONOWA;14B;dom;
1922;JESIONOWA;15;dom;
1923;JESIONOWA;15B;dom;
1924;JESIONOWA;16;dom;
1925;JESIONOWA;17;dom;
1926;JOD£OWA;3;dom;
1927;JOD£OWA;04;dom;
1928;JOD£OWA;06;dom;
1929;JOD£OWA;08;dom;
1930;JOD£OWA;13;dom;
1931;JOD£OWA;15;dom;
1932;JOD£OWA;17;dom;
1933;JOD£OWA;19;dom;
1934;JOD£OWA;21;dom;
1935;JOD£OWA;23;dom;
1936;JOD£OWA;24;dom;
1937;JOD£OWA;25;dom;
1938;JOD£OWA;27;dom;
1939;JOD£OWA;29;dom;
1940;JOD£OWA;31;dom;
1941;JOD£OWA;32;dom;
1942;JOD£OWA;33;dom;
1943;JOD£OWA;33;dom;
1944;JOD£OWA;35;dom;
1945;JOD£OWA;37;dom;
1946;JOD£OWA;39;dom;
1947;JOD£OWA;41;dom;
1948;JOD£OWA;43;dom;
1949;JOD£OWA;48;dom;
1950;JOD£OWA;50;dom;
1951;JOD£OWA;52;dom;
1952;JOD£OWA;54;dom;
1953;JOD£OWA;56;dom;
1954;JOD£OWA;58;dom;
1955;KACZE—CE;1;dom;
1956;KACZE—CE;3;dom;
1957;KACZE—CE;5;dom;
1958;KACZE—CE;7;dom;
1959;KACZE—CE;15;dom;
1960;KACZE—CE;17;dom;
1961;KACZE—CE;19;dom;
1962;KALETNICZA;1 (1/2);kamienica;
1963;KALETNICZA;2 (1/2);kamienica;
1964;KALETNICZA;3 (3/7);kamienica;614
1965;KALETNICZA;4 (3/7);kamienica;
1966;KALETNICZA;5 (3/7);kamienica;
1967;KALETNICZA;6 (3/7);kamienica;
1968;KALETNICZA;7 (3/7);kamienica;
1969;KALETNICZA;10 (10/13);kamienica;
1970;KALETNICZA;11 (10/13);kamienica;
1971;KALETNICZA;12 (10/13);kamienica;
1972;KAMIENNA GROBLA;28/29;dwa budynki fabryczne, obecnie firma Batycki;
1973;KAPLICZNA;12;dom;
1974;KAPR”W;4;dom;
1975;KAPR”W;6;dom;
1976;KAPR”W;7;dom;
1977;KAPR”W;8;dom;
1978;KAPR”W;9;dom;
1979;KAPR”W;10;dom;
1980;KAPR”W;11;dom;
1981;KAPR”W;13;dom;
1982;KAPR”W;14;dom;
1983;KAPR”W;15;dom;
1984;KAPR”W;16;dom;
1985;KAPR”W;17;dom;
1986;KAPR”W;18;dom;
1987;KAR£OWICZA Mieczys≥awa;01;dom;
1988;KAR£OWICZA Mieczys≥awa;02;dom;
1989;KAR£OWICZA Mieczys≥awa;03;dom;
1990;KAR£OWICZA Mieczys≥awa;04;dom;
1991;KAR£OWICZA Mieczys≥awa;05;dom;
1992;KAR£OWICZA Mieczys≥awa;06;dom;
1993;KAR£OWICZA Mieczys≥awa;07;dom;
1994;KAR£OWICZA Mieczys≥awa;08;dom;
1995;KAR£OWICZA Mieczys≥awa;09;dom;
1996;KAR£OWICZA Mieczys≥awa;10;dom;
1997;KAR£OWICZA Mieczys≥awa;11;dom;
1998;KAR£OWICZA Mieczys≥awa;13;dom;
1999;KAR£OWICZA Mieczys≥awa;13 A;dom;
2000;KAR£OWICZA Mieczys≥awa;15;dom;
2001;KAR£OWICZA Mieczys≥awa;16;dom;
2002;KAR£OWICZA Mieczys≥awa;17;dom;
2003;KAR£OWICZA Mieczys≥awa;18;dom;
2004;KAR£OWICZA Mieczys≥awa;19;dom;
2005;KAR£OWICZA Mieczys≥awa;20;dom;
2006;KAR£OWICZA Mieczys≥awa;21;dom;
2007;KAR£OWICZA Mieczys≥awa;22;dom;
2008;KAR£OWICZA Mieczys≥awa;24;dom;
2009;KAR£OWICZA Mieczys≥awa;25;dom;
2010;KAR£OWICZA Mieczys≥awa;26;dom;
2011;KAR£OWICZA Mieczys≥awa;27;dom;
2012;KAR£OWICZA Mieczys≥awa;28;dom;
2013;KAR£OWICZA Mieczys≥awa;30;dom;
2014;KAR£OWICZA Mieczys≥awa;30 A;dom;
2015;KAR£OWICZA Mieczys≥awa;31;dom;
2016;KAR£OWICZA Mieczys≥awa;33;dom;
2017;KAR£OWICZA Mieczys≥awa;35;dom;
2018;KAR£OWICZA Mieczys≥awa;36;dom;
2019;KAR£OWICZA Mieczys≥awa;37;dom;
2020;KAR£OWICZA Mieczys≥awa;38;dom;
2021;KAR£OWICZA Mieczys≥awa;39;dom;
2022;KAR£OWICZA Mieczys≥awa;40;dom;
2023;KAR£OWICZA Mieczys≥awa;41;dom;
2024;KAR£OWICZA Mieczys≥awa;42;dom;
2025;KAR£OWICZA Mieczys≥awa;43;dom;
2026;KAR£OWICZA Mieczys≥awa;44;dom;
2027;KAR£OWICZA Mieczys≥awa;45;dom;
2028;KAR£OWICZA Mieczys≥awa;46;dom;
2029;KAR£OWICZA Mieczys≥awa;47;dom;
2030;KAR£OWICZA Mieczys≥awa;48;dom;
2031;KAR£OWICZA Mieczys≥awa;49;dom;
2032;KAR£OWICZA Mieczys≥awa;50;dom;
2033;KAR£OWICZA Mieczys≥awa;51;dom;
2034;KAR£OWICZA Mieczys≥awa;52;dom;
2035;KAR£OWICZA Mieczys≥awa;53;dom;
2036;KAR£OWICZA Mieczys≥awa;54;dom;
2037;KAR£OWICZA Mieczys≥awa;55;dom;
2038;KAR£OWICZA Mieczys≥awa;57;dom;
2039;KAR£OWICZA Mieczys≥awa;58;dom;
2040;KAR£OWICZA Mieczys≥awa;59;dom;
2041;KAR£OWICZA Mieczys≥awa;60;dom;
2042;KAR£OWICZA Mieczys≥awa;61;dom;
2043;KAR£OWICZA Mieczys≥awa;61 A;dom;
2044;KAR£OWICZA Mieczys≥awa;61 B;dom;
2045;KAR£OWICZA Mieczys≥awa;62;dom;
2046;KAR£OWICZA Mieczys≥awa;63;dom;
2047;KAR£OWICZA Mieczys≥awa;64;dom;
2048;KAR£OWICZA Mieczys≥awa;65;dom;
2049;KAR£OWICZA Mieczys≥awa;66;dom;
2050;KAR£OWICZA Mieczys≥awa;67;dom;
2051;KAR£OWICZA Mieczys≥awa;68;dom;
2052;KAR£OWICZA Mieczys≥awa;69;dom;
2053;KAR£OWICZA Mieczys≥awa;70;dom;
2054;KAR£OWICZA Mieczys≥awa;71;dom;
2055;KAR£OWICZA Mieczys≥awa;72;dom;
2056;KAR£OWICZA Mieczys≥awa;73;dom;
2057;KAR£OWICZA Mieczys≥awa;74;dom;
2058;KAR£OWICZA Mieczys≥awa;75;dom;
2059;KAR£OWICZA Mieczys≥awa;76;dom;
2060;KAR£OWICZA Mieczys≥awa;77;dom;
2061;KAR£OWICZA Mieczys≥awa;78;dom;
2062;KAR£OWICZA Mieczys≥awa;80;dom;
2063;KAR£OWICZA Mieczys≥awa;82;dom;
2064;KAR£OWICZA Mieczys≥awa;84;dom;
2065;KAR£OWICZA Mieczys≥awa;86;dom;
2066;KARTUSKA;4/6/8;budynek szpital;
2067;KARTUSKA;7 I 11;ZESP”£ DOM”W GOSPODARSTWA OGRODNICZEGO;1287
2068;KARTUSKA;12/14/16/18;budynki mieszkalne;
2069;KARTUSKA;28;budynek mieszkalny;
2070;KARTUSKA;33;budynek mieszkalny;
2071;KARTUSKA;35A/35/37;budynki mieszkalne;
2072;KARTUSKA;36A;budynek mieszkalny;
2073;KARTUSKA;39/41/43/45/47/49/51;budynki mieszkalne;
2074;KARTUSKA;52;budynek mieszkalny;
2075;KARTUSKA;53/55/57/59/61/63;budynki mieszkalne, budynek- zak≥ad opieki zdrowotnej;
2076;KARTUSKA;54/56;budynki mieszkalne;
2077;KARTUSKA;65/67/69/71;budynki mieszkalne, budynek- zak≥ad opieki zdrowotnej;
2078;KARTUSKA;121;dom;
2079;KARTUSKA;124 A;dom;561
2080;KARTUSKA;128;szko≥a wraz z sala gimnastyczna i budynkiem gospodarczym ob.. VIII LO;1565
2081;KARTUSKA;135;dom;
2082;KARTUSKA;139-145;zespÛ≥ domÛw;
2083;KARTUSKA;159;budynek mieszkalny;
2084;KARTUSKA;161;budynek mieszkalny;
2085;KARTUSKA;163;budynek mieszkalny;
2086;KARTUSKA;165;budynek mieszkalny;
2087;KARTUSKA;167;budynek mieszkalny;
2088;KARTUSKA;175;budynek mieszkalny;
2089;KARTUSKA;186;zespÛ≥ koúcio≥a parafialnego p.w. åw. Franciszka z Asyøu z plebaniπ i budynkiem gospodarczym ;1062
2090;KARTUSKA;191;dom;
2091;KARTUSKA;213/215;zespÛ≥ m≥yna motorowego Emaus / m≥yn , dom mieszkalny, dzia≥ka, budynek gospodarczy, mur w pierzei zachodniej oraz brama w pierzei wschodniej/;562
2092;KARTUSKA;222;dom;
2093;KARTUSKA;226;dom;
2094;KARTUSKA;236;dom;
2095;KARTUSKA;238 (w pobliøu);cmentarz úw. Franciszka;
2096;KARTUSKA;241;dom;
2097;KARTUSKA;243;dom;
2098;KARTUSKA;243 A;0ficyna;
2099;KARTUSKA;245;budynek szkolny I;
2100;KARTUSKA;245 A;budynek szkolny II;
2101;KARTUSKA;249;dom;
2102;KARTUSKA;251;dom;
2103;KARTUSKA;258;budynek mieszkalny;
2104;KARTUSKA;270/272;budynek mieszkalny;
2105;KARTUSKA;280;budynek mieszkalny;
2106;KARTUSKA;283;budynek mieszkalny;
2107;KARTUSKA;289;budynek mieszkalny;
2108;KARTUSKA;360;budynek mieszkalny;
2109;KARTUSKA;362;budynek mieszkalny;
2110;KARWIE—SKA;2;dom;
2111;KARWIE—SKA;3;budynek Dyrekcji ZOO;
2112;KARWIE—SKA;3;d. M≥yn Leúny;
2113;KASPROWICZA Jana;1;dom;
2114;KASPROWICZA Jana;4;dom;
2115;KASPROWICZA Jana;6;dom;
2116;KASPROWICZA Jana;7;dom;
2117;KASPROWICZA Jana;11;dom;
2118;KASPROWICZA Jana;12;dom;
2119;KASZTANOWA;5;dom;
2120;KASZUBSKA;2;dom;
2121;KASZUBSKA;4;dom;
2122;KASZUBSKA;6;dom;
2123;KASZUBSKA;8 A;dom;
2124;KASZUBSKA;8 B;dom;
2125;KATARZYNKI;1-3;kamienice- Dom KaznodziejÛw;446
2126;KATARZYNKI;;kosciÛ≥ p.w. åw. Katarzyny;417
2127;K•TOWA;1;dom;1048
2128;KEMPINGOWA;2;dom;
2129;KEMPINGOWA;3;dom;
2130;KEMPINGOWA;5;dom;
2131;K PNA;10;dom;
2132;K PNA;12;dom;
2133;K PNA;21;dom;
2134;K PNA;27;dom;
2135;K PNA;28;dom;
2136;K PNA;33;dom;
2137;K PNA;34;dom;
2138;KIELECKA;7;dom;
2139;KIELECKA;8;dom;
2140;KIELECKA;9 A;dom;
2141;KIELECKA;11 A;dom;
2142;KIELECKA;11;dom;
2143;KIELECKA;13;dom;
2144;KIELECKA;17;dom;
2145;KIELECKA;17 k.;dom;
2146;KIETURAKISA prof. Zdzis≥awa;1-3;d. zespÛ≥ Szpitala;
2147;KIETURAKISA prof. Zdzis≥awa;1-3;d. zespÛ≥ Szpitala: drugi budynek;
2148;KIETURAKISA prof. Zdzis≥awa;1-3;d. zespÛ≥ Szpitala: Oddzia≥ Chirurgiczny;
2149;KIETURAKISA prof. Zdzis≥awa;1-3;d. zespÛ≥ Szpitala: pralnia;
2150;KIETURAKISA prof. Zdzis≥awa;1-3;d. zespÛ≥ Szpitala: kapliczka;
